Country;crime_index;eco_EPI_score_2016;education;aggregated_score_freedom;health_index;personal_income_tax
Iran;77;64;70;10;83;5
Iraq;82;54;28;18;76;4
Ireland;61;143;108;82;93;34
Israel;48;114;30;66;95;36
Italy;58;134;123;74;96;35
Jamaica;103;109;104;61;82;13
Japan;7;124;1;82;98;43
Jordan;53;92;106;27;83;8
Kazakhstan;67;96;125;16;72;2
Kenya;99;49;90;38;64;17
Kiribati;50;47;6;77;75;12
Kosovo;30;50;40;39;70;2
Kuwait;26;57;84;27;84;1
Kyrgyzstan;70;88;100;28;73;2
Laos;24;30;38;6;70;12
Latvia;32;140;71;71;80;11
Lebanon;69;74;47;33;92;8
Lesotho;120;23;25;53;45;17
Liberia;41;13;50;48;62;5
Libya;84;52;55;14;85;2
Liechtenstein;11;120;120;84;92;12
Lithuania;41;139;106;77;80;4
Luxembourg;49;142;120;84;93;29
Macedonia;36;113;90;44;66;2
Madagascar;24;3;17;43;69;8
Malawi;133;28;36;51;54;17
Malaysia;98;101;110;34;85;16
Maldives;64;40;49;33;89;7
Mali;24;7;29;34;54;21
Malta;21;153;68;82;92;21
Marshall Islands;22;160;77;78;81;24
Mauritania;12;20;5;22;64;27
Mauritius;78;89;26;76;83;4
Mexico;75;98;70;52;89;21
Micronesia;3;150;80;79;76;12
Moldova;59;108;100;47;76;7
Monaco;1;90;90;73;70;14
Mongolia;104;56;82;71;73;2
Montenegro;37;116;80;57;84;48
Morocco;68;100;39;32;78;25
Mozambique;27;9;16;43;47;18
Myanmar;30;26;60;19;70;13
Nagorno-Karabakh *;22;16;50;24;60;15
Namibia;96;88;37;62;68;24
Nauru;39;50;70;70;59;20
Nepal;33;29;41;38;75;30
Netherlands;19;127;94;85;94;39
New Zealand;38;151;126;84;94;19
Nicaragua;60;55;114;41;84;17
Niger;15;4;9;39;59;2
Nigeria;106;43;30;36;50;12
North Korea;20;30;80;21;70;17
Northern Cyprus *;7;80;60;64;67;15
Norway;60;145;131;4;95;26
Oman;13;46;83;17;87;1
Pakistan;83;34;33;32;72;8
Pakistani Kashmir *;26;30;40;19;70;9
Palau;1;140;80;78;81;10
Panama;74;112;103;69;86;13
Papua New Guinea;111;24;70;45;65;28
Paraguay;47;84;50;51;80;18
Peru;97;93;66;58;84;17
Philippines;40;99;90;52;75;18
Poland;23;125;64;79;86;18
Portugal;31;155;80;83;92;44
Puerto Rico *;98;120;70;77;68;20
Qatar;1;79;105;18;89;1
Romania;18;129;87;69;83;5
Russia;62;131;1;15;74;3
Rwanda;75;31;2;16;68;17
Samoa;5;81;79;66;82;14
San Marino;6;138;80;4;66;10
Saudi Arabia;12;73;72;3;85;1
Senegal;33;53;20;63;67;27
Serbia;35;115;90;63;83;4
Seychelles;25;58;97;54;82;4
Sierra Leone;30;18;77;52;39;17
Singapore;2;148;62;38;96;9
Slovakia;20;138;89;74;85;13
Slovenia;50;157;117;78;92;36
Solomon Islands;13;22;27;54;73;10
Somalia;90;1;66;13;54;12
Somaliland *;6;140;65;31;55;11
South Africa;109;85;67;64;57;30
South Korea;15;86;90;69;70;25
South Ossetia *;90;30;77;5;53;16
South Sudan;89;26;76;7;54;5
Spain;22;156;96;81;96;30
Sri Lanka;28;62;93;42;84;4
St. Kitts and Nevis;20;120;67;73;67;10
St. Lucia;24;60;76;78;58;14
St. Vincent and Grenadines;27;98;77;77;60;13
Sudan;29;10;69;46;65;4
Suriname;28;72;13;62;78;25
Swaziland;39;48;53;11;45;19
Sweden;63;159;129;4;95;45
Switzerland;10;146;118;82;96;27
Syria;101;68;78;2;38;9
S?o Tom? e Pr?ncipe;22;50;80;67;50;10
Taiwan;3;104;70;74;60;30
Tajikistan;10;94;99;9;73;3
Tanzania;93;44;8;47;64;17
Thailand;73;76;48;23;84;21
Tibet *;9;90;70;1;70;10
Timor-Leste;8;39;68;52;73;20
Togo;40;19;14;36;56;21
Tonga;4;67;35;61;81;23
Transnistria *;30;100;80;16;60;9
Trinidad and Tobago;140;102;58;67;77;11
Tunisia;44;110;43;64;86;21
Turkey;45;70;75;40;85;21
Turkmenistan;17;82;80;30;70;15
Tuvalu;5;60;87;80;60;14
Uganda;88;42;18;27;60;27
Ukraine;79;119;121;48;75;7
United Arab Emirates;5;75;100;14;87;1
United Kingdom;46;150;129;81;93;30

